ibge_code,municipio,regiao_intermediaria,regiao_imediata,populacao_censo_2022,total_denuncias,total_penal,denuncias_unicas,denuncias_unicas_penal,sem_grupo_total,sem_grupo_penal,criancas_total,criancas_penal,mulheres_total,mulheres_penal,idosos_total,idosos_penal,pcd_total,pcd_penal,lgbt_total,lgbt_penal,prisional_total,prisional_penal,denuncias_unicas_maioria_penal,total_registros,total_social,taxa_total_10k,taxa_penal_10k,taxa_denuncias_unicas_10k,taxa_denuncias_maioria_penal_10k,taxa_criancas_10k,taxa_criancas_penal_10k,taxa_mulheres_10k,taxa_mulheres_penal_10k,taxa_idosos_10k,taxa_idosos_penal_10k,taxa_pcd_10k,taxa_pcd_penal_10k,taxa_lgbt_10k,taxa_lgbt_penal_10k,taxa_prisional_10k,taxa_prisional_penal_10k
4203808,Canoinhas,Joinville,Mafra,55016,3291,2190,388,371,109,62,1818,1228,77,54,1162,773,326,216,12,8,21,15,276,3291,1101,598.19,398.07,70.52,50.17,330.45,223.21,14.0,9.82,211.21,140.5,59.26,39.26,2.18,1.45,3.82,2.73
4203253,Capão Alto,Lages,Lages,2625,362,233,49,47,32,17,158,89,9,6,133,97,87,61,0,0,6,6,34,362,129,1379.05,887.62,186.67,129.52,601.9,339.05,34.29,22.86,506.67,369.52,331.43,232.38,0.0,0.0,22.86,22.86
4203907,Capinzal,Chapecó,Joaçaba - Herval d'Oeste,23314,2376,1504,314,304,198,118,1108,674,146,96,684,441,352,246,4,2,134,98,204,2376,872,1019.13,645.11,134.68,87.5,475.25,289.1,62.62,41.18,293.39,189.16,150.98,105.52,1.72,0.86,57.48,42.03
4203956,Capivari de Baixo,Criciúma,Tubarão,23975,2054,1215,263,257,69,41,803,469,89,61,1018,591,373,233,51,36,16,15,171,2054,839,856.73,506.78,109.7,71.32,334.93,195.62,37.12,25.44,424.61,246.51,155.58,97.18,21.27,15.02,6.67,6.26
4204004,Catanduvas,Chapecó,Joaçaba - Herval d'Oeste,10566,731,453,104,104,41,28,389,255,19,12,252,137,89,57,10,7,0,0,75,731,278,691.84,428.73,98.43,70.98,368.16,241.34,17.98,11.36,238.5,129.66,84.23,53.95,9.46,6.63,0.0,0.0
4204103,Caxambu do Sul,Chapecó,Chapecó,4614,216,131,27,27,2,2,145,78,0,0,68,50,32,20,0,0,0,0,22,216,85,468.14,283.92,58.52,47.68,314.26,169.05,0.0,0.0,147.38,108.37,69.35,43.35,0.0,0.0,0.0,0.0
4204152,Celso Ramos,Chapecó,Joaçaba - Herval d'Oeste,2805,101,79,14,14,12,12,35,27,6,4,27,17,27,23,0,0,0,0,14,101,22,360.07,281.64,49.91,49.91,124.78,96.26,21.39,14.26,96.26,60.61,96.26,82.0,0.0,0.0,0.0,0.0
4204178,Cerro Negro,Lages,Lages,3317,174,112,30,28,5,1,125,83,1,1,33,22,12,7,0,0,0,0,20,174,62,524.57,337.65,90.44,60.3,376.85,250.23,3.01,3.01,99.49,66.32,36.18,21.1,0.0,0.0,0.0,0.0
4204194,Chapadão do Lageado,Blumenau,Ituporanga,2950,132,68,15,14,13,11,57,28,1,1,61,28,32,16,0,0,0,0,8,132,64,447.46,230.51,50.85,27.12,193.22,94.92,3.39,3.39,206.78,94.92,108.47,54.24,0.0,0.0,0.0,0.0
4204202,Chapecó,Chapecó,Chapecó,254785,17267,10901,2332,2245,825,539,8812,5288,586,427,5434,3424,2204,1400,291,174,844,793,1582,17267,6366,677.71,427.85,91.53,62.09,345.86,207.55,23.0,16.76,213.28,134.39,86.5,54.95,11.42,6.83,33.13,31.12
4204251,Cocal do Sul,Criciúma,Criciúma,17240,1956,1104,302,282,72,46,1420,752,71,52,372,244,172,100,8,6,32,23,181,1956,852,1134.57,640.37,175.17,104.99,823.67,436.19,41.18,30.16,215.78,141.53,99.77,58.0,4.64,3.48,18.56,13.34
4204301,Concórdia,Chapecó,Concórdia,81646,7997,4914,1025,997,279,190,3158,1857,336,245,3983,2465,1045,710,85,51,50,43,670,7997,3083,979.47,601.87,125.54,82.06,386.79,227.45,41.15,30.01,487.84,301.91,127.99,86.96,10.41,6.25,6.12,5.27
